SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20150312_004500_1750,45,2015.03.12 00:45:00,2015.03.12 05:59:12,Thursday,EURUSD,LONG,1.05555,1.05008,1.07196,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,OK,DISCOUNT,RANGING,8.06,14.83,0.90,11.17,24.83,-5.47,-0.5771,3.00,-1.000,0.0,54.4,314,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,0,1
ATLAS_20150316_154500_1906,47,2015.03.16 15:45:00,2015.03.18 22:04:33,Monday,EURUSD,LONG,1.05838,1.04519,1.09795,0.01,0.50,NONE,120,A+,BEARISH,BULLISH,BEARISH,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,13.45,12.64,0.60,4.46,36.53,39.58,4.0085,3.00,3.001,393.7,32.8,3259,180,TP3_Full,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,YES,NO,-1,0,1,2
ATLAS_20150319_223000_1985,49,2015.03.19 22:30:00,2015.03.20 17:00:00,Thursday,EURUSD,LONG,1.06499,1.05697,1.08905,0.01,0.50,NONE,120,A+,BEARISH,BEARISH,NEUTRAL,BULLISH,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,BLOCKED,DISCOUNT,CHOPPY,12.68,21.39,1.20,9.46,15.69,12.52,1.2521,3.00,1.561,170.2,2.2,1110,60,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,1,1,0
ATLAS_20150325_034500_2169,51,2015.03.25 03:45:00,2015.03.26 19:30:34,Wednesday,EURUSD,LONG,1.09303,1.08797,1.10821,0.01,0.50,NONE,125,A+,NEUTRAL,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,RANGING,6.40,11.46,1.40,21.88,23.64,-5.06,-0.5086,3.00,-1.000,121.2,50.4,2385,120,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,1
ATLAS_20150331_000000_2315,53,2015.03.31 00:00:00,2015.03.31 07:00:05,Tuesday,EURUSD,LONG,1.08336,1.07995,1.09359,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,BEARISH,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,7.29,12.85,1.90,26.08,25.65,-3.41,-0.3439,3.00,-1.000,11.1,33.8,420,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,1,2
ATLAS_20150331_100000_2316,55,2015.03.31 10:00:00,2015.03.31 10:24:29,Tuesday,EURUSD,LONG,1.07865,1.07622,1.08594,0.02,0.50,NONE,125,A+,BEARISH,BEARISH,BEARISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,10.64,8.33,1.40,13.16,54.90,-4.86,-0.4926,3.00,-1.000,0.0,24.2,24,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,-1,1,2
ATLAS_20150401_031500_2384,57,2015.04.01 03:15:00,2015.04.02 16:49:19,Wednesday,EURUSD,LONG,1.07501,1.07023,1.08935,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,BEARISH,NEUTRAL,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,RANGING,5.85,10.55,1.50,25.64,18.81,14.34,1.4327,3.00,3.000,143.0,32.1,2254,120,TP3_Full,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,YES,NO,-1,0,1,1
ATLAS_20150402_170000_2385,59,2015.04.02 17:04:19,2015.04.03 17:00:00,Thursday,EURUSD,LONG,1.08714,1.07080,1.13616,0.01,0.50,NEWYORK,120,A+,BEARISH,BULLISH,BEARISH,BULLISH,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,18.54,13.43,1.40,7.55,36.48,12.82,1.2646,3.00,0.785,154.7,8.2,1435,60,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,-1,1,1,2
ATLAS_20150408_031500_2567,61,2015.04.08 03:15:00,2015.04.08 17:53:24,Wednesday,EURUSD,LONG,1.08294,1.07929,1.09389,0.01,0.50,NONE,125,A+,BEARISH,NEUTRAL,NEUTRAL,BEARISH,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,OK,DISCOUNT,RANGING,7.13,10.61,0.70,9.82,21.33,-3.66,-0.3623,3.00,-1.003,57.6,36.3,878,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,1
ATLAS_20150410_033000_2678,63,2015.04.10 03:30:00,2015.04.10 10:09:29,Friday,EURUSD,LONG,1.06704,1.06272,1.08000,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,NEUTRAL,BEARISH,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,4.44,10.15,0.90,20.26,30.49,-4.34,-0.4315,3.00,-1.005,12.9,43.0,399,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,2
