SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20160603_154500_3626,53,2016.06.03 15:45:00,2016.06.03 17:00:00,Friday,XAUUSD,LONG,1233.53,1199.75,1334.87,0.01,0.50,NONE,120,A+,BULLISH,NEUTRAL,NEUTRAL,BEARISH,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,RANGING,2.52,1.41,0.31,12.30,23.52,6.27,0.5527,3.00,1.856,7.3,0.5,75,0,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,-1,1,1
ATLAS_20160609_163000_3916,55,2016.06.09 16:30:00,2016.06.10 17:00:00,Thursday,XAUUSD,LONG,1262.64,1232.98,1351.62,0.01,0.50,NEWYORK,125,A+,BULLISH,NEUTRAL,BULLISH,NEUTRAL,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,OK,PREMIUM,RANGING,1.78,1.40,0.24,13.50,21.77,12.66,1.1036,3.00,4.268,13.0,0.7,1470,60,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,0,1,1
ATLAS_20160615_211500_4146,57,2016.06.15 21:15:00,2016.06.17 17:00:00,Wednesday,XAUUSD,LONG,1291.12,1266.31,1365.55,0.02,0.50,NONE,120,A+,BULLISH,BULLISH,BULLISH,BEARISH,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,2.15,1.77,0.26,12.07,35.61,-0.24,-0.0209,3.00,-0.048,24.4,14.6,2625,120,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,1,-1,1,2
ATLAS_20160624_054500_4478,59,2016.06.24 05:45:00,2016.06.24 17:00:00,Friday,XAUUSD,LONG,1299.99,1244.37,1466.85,0.01,0.50,NONE,120,A+,BULLISH,BULLISH,NEUTRAL,BEARISH,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,9.12,4.34,0.24,2.63,45.11,15.31,1.3173,3.00,2.753,58.3,9.3,675,0,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,-1,1,2
ATLAS_20160627_150000_4523,61,2016.06.27 15:00:00,2016.07.01 17:00:00,Monday,XAUUSD,LONG,1333.13,1240.34,1611.50,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,BULLISH,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.84,2.20,0.29,15.77,49.91,6.49,0.5553,3.00,0.699,8.3,27.7,5880,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,1,2
ATLAS_20160704_041500_4537,63,2016.07.04 04:15:00,2016.07.08 17:00:00,Monday,XAUUSD,LONG,1345.23,1310.47,1449.51,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,BULLISH,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,OK,PREMIUM,TRENDING,1.99,2.11,0.24,12.06,27.55,7.56,0.6427,3.00,2.175,29.8,10.1,6525,420,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,1,2
ATLAS_20160711_190000_4598,65,2016.07.11 19:00:00,2016.07.14 11:16:40,Monday,XAUUSD,LONG,1359.97,1325.17,1464.37,0.01,0.50,NONE,120,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,BLOCKED,PREMIUM,RANGING,2.67,2.02,0.35,13.12,20.08,-34.81,-3.0495,3.00,-10.003,0.1,34.8,3856,240,StopLoss,LOSS,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,0,0,1
ATLAS_20160727_161500_5266,67,2016.07.27 16:15:00,2016.07.29 17:00:00,Wednesday,XAUUSD,LONG,1327.07,1303.76,1397.00,0.02,0.50,NEWYORK,125,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.38,1.21,0.33,23.95,27.59,30.36,2.5908,3.00,6.512,21.7,6.2,2925,180,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20160802_101500_5372,69,2016.08.02 10:15:00,2016.08.05 17:00:00,Tuesday,XAUUSD,LONG,1355.84,1336.17,1414.85,0.02,0.50,NONE,125,A+,BULLISH,BULLISH,BULLISH,NEUTRAL,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,OK,PREMIUM,TRENDING,1.34,1.18,0.35,26.12,45.65,-30.04,-2.6309,3.00,-7.636,11.4,16.6,4725,300,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,0,0,2
ATLAS_20160809_163000_5503,71,2016.08.09 16:30:00,2016.08.12 17:00:00,Tuesday,XAUUSD,LONG,1340.43,1319.77,1402.41,0.02,0.50,NEWYORK,125,A+,NEUTRAL,NEUTRAL,BEARISH,NEUTRAL,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.27,1.02,0.25,19.70,29.65,23.32,2.0015,3.00,5.644,16.7,5.7,4350,240,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,1,2
