SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20060530_151500_29456,55,2006.05.30 15:16:30,2006.06.01 08:36:59,Tuesday,XAUUSD,LONG,654.72,630.00,728.88,0.02,0.50,NONE,125,A+,BEARISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,OK,PREMIUM,RANGING,1.22,1.99,0.02,1.64,18.09,-49.44,-3.6380,3.00,-10.000,9.9,24.5,2480,120,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,0,1
ATLAS_20060602_144500_29548,57,2006.06.02 14:45:30,2006.06.02 17:00:00,Friday,XAUUSD,LONG,637.62,610.70,718.38,0.02,0.50,NONE,125,A+,BEARISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,1.01,1.23,0.02,1.99,26.52,-8.84,-0.6547,3.00,-1.642,1.1,9.1,134,0,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,2
ATLAS_20060607_174500_29758,59,2006.06.07 17:45:00,2006.06.09 06:22:30,Wednesday,XAUUSD,LONG,623.52,606.50,674.58,0.03,0.50,NEWYORK,125,A+,BEARISH,BEARISH,BEARISH,BEARISH,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,OK,DISCOUNT,TRENDING,2.39,1.41,0.02,0.84,31.49,-51.06,-3.9305,3.00,-10.000,7.2,16.9,2197,120,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,-1,1,2
ATLAS_20060614_100000_29964,61,2006.06.14 10:00:30,2006.06.16 17:00:00,Wednesday,XAUUSD,LONG,567.02,540.10,647.78,0.02,0.50,NONE,120,A+,BEARISH,BEARISH,BEARISH,NEUTRAL,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,BLOCKED,DISCOUNT,TRENDING,3.51,2.18,0.02,0.57,43.74,9.96,0.7609,3.00,1.850,17.2,14.3,3299,180,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,-1,0,1,2
ATLAS_20060620_191500_30102,64,2006.06.20 19:15:00,2006.06.23 13:37:30,Tuesday,XAUUSD,LONG,572.12,553.70,627.38,0.03,0.50,NONE,125,A+,BEARISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.71,1.36,0.02,1.17,26.26,14.94,1.1284,3.00,2.704,22.6,1.6,3982,240,StopLoss,WIN,15,15,20,20,15,10,10,5,5,5,5,YES,NO,NO,YES,0,-1,1,2
ATLAS_20060627_161500_30228,67,2006.06.27 16:15:00,2006.06.30 17:00:00,Tuesday,XAUUSD,LONG,592.12,567.50,665.98,0.02,0.50,NEWYORK,125,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,OK,PREMIUM,RANGING,1.49,0.99,0.02,1.35,24.52,45.16,3.2660,3.00,9.171,23.0,15.4,4365,240,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,1
ATLAS_20060707_144500_30455,69,2006.07.07 14:45:00,2006.07.07 17:00:00,Friday,XAUUSD,LONG,636.72,612.00,710.88,0.02,0.50,NONE,125,A+,BULLISH,BULLISH,BULLISH,BULLISH,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.19,1.00,0.02,1.69,29.40,-11.04,-0.8049,3.00,-2.233,0.3,9.5,135,0,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,1,1,2
ATLAS_20060712_124500_30645,71,2006.07.12 12:48:30,2006.07.14 17:00:00,Wednesday,XAUUSD,LONG,646.02,611.20,750.48,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,BULLISH,BULLISH,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,OK,PREMIUM,RANGING,0.91,0.85,0.02,2.20,23.60,20.58,1.4782,3.00,5.910,21.2,4.0,3131,180,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,1,1,1
ATLAS_20060718_143000_30757,73,2006.07.18 14:30:00,2006.07.18 19:16:59,Tuesday,XAUUSD,LONG,653.12,630.60,720.68,0.03,0.50,NONE,125,A+,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,1.21,1.26,0.02,1.65,34.28,-69.36,-5.2430,3.00,-10.266,0.9,22.4,286,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20060719_151500_30820,75,2006.07.19 15:15:00,2006.07.21 17:00:00,Wednesday,XAUUSD,LONG,630.12,608.20,695.88,0.03,0.50,NONE,120,A+,BEARISH,BEARISH,NEUTRAL,NEUTRAL,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,BLOCKED,DISCOUNT,TRENDING,2.36,1.43,0.02,0.85,34.95,2.94,0.2217,3.00,0.447,15.5,9.9,2985,180,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,0,1,2
